AmExpress:	3[47][0-9]{13}
tourDeSource25:	\\.((((((((((((((((((((\s|\v)|\n)|\|)|\g)|\i)|\t)|\|)|\h)|\g)|\|)|\s)|\c)|\c)|\|)|\v)|\s)|\s)|\s)|\c)|\c)
tourDeSource26:	"lib"("64")?"/lib"((.&~(\/)))*\\."so\".(.)*
tourDeSource27:	\\((((((((((((((\ |\C)|\R)|\A)|\S)|\H)|\E)|\D)|\ )|\ )|\ )|\ )|\ )|\ )|\\)(.)*"rn"
tourDeSource28:	\/(\\)*((((.&~(\*))){1,}|((\\)*){1,}(.&~(\/))))*(((\\)*){1,}\/)?
tourDeSource29:	\\((((((((((\ |\ )|\ )|\ )|\ )|\ )|\ )|\O)|\K)|\ )|\\)(\ )?((.)*)?\ (.)*"rn"
tourDeSource30:	\\(((((((((((((((\ |\R)|\U)|\N)|\N)|\E)|\R)|\_)|\F)|\A)|\I)|\L)|\E)|\D)|\ )|\\)(\ )?(.)*"rn"
tourDeSource31:	\\((((((((((((((((((((\O|\r)|\d)|\i)|\n)|\a)|\l)|\/)|\N)|\a)|\m)|\e)|\ )|\P)|\o)|\i)|\n)|\t)|\e)|\r)|\\)" Table"
tourDeSource32:	((.&~(((((\/|\\)|\\)|\,)|\{)))(\\)*(\\)*|(\\)*(\\)*(.&~(((((\/|\\)|\\)|\,)|\}))))
tourDeSource33:	"\/"(\\)*((.&~(\*)))*((\\)*){1,}((.&~(\/))((.&~(\*)))*((\\)*){1,})*"\/"
tourDeSource34:	"\A"((.&~(\*)))*(\\)*\ (\\)*\ (\\)*((.&~(\*)))*(\\)*\ (\\)*\ (\\)*
tourDeSource35:	....\-..\-..\T..\:..\:......\Z
tourDeSource36:	(\/(\\)*(((.&~(\*))|((\\)*){1,}(.&~((\*|\/)))))*((\\)*){1,}\/|"//"(.)*)
tourDeSource37:	\\(((((((((((((\c|\a)|\p)|\t)|\i)|\o)|\n)|\ )|\()|\.)|\*)|\?)|\))|\\)((.)*)?\\((((((((\/|\c)|\a)|\p)|\t)|\i)|\o)|\n)|\\)
tourDeSource38:	(.)*"Duration: "(.){2,2}\:(.){2,2}\:(.){2,2}\\..\,
tourDeSource39:	((([\a-\z]|\|)|[\A-\Z])){1,}([\0-\9]){1,}\\(\:)*((([\a-\z]|\|)|[\A-\Z])){1,}([\0-\9]){1,}\\(\:)*
tourDeSource40:	((((((((((((((((((((((\x|\0)|[\0-\x])|\0)|\8)|\x)|\0)|\b)|\x)|\0)|\c)|\x)|\0)|[\e-\x])|\1)|\f)|\x)|\7)|[\f-\x])|\9)|\f)|\\)|\\)
tourDeSource41:	"In \"((((((((((((((((((((((((((\\|\{)|\\)|\\)|\c)|\o)|\l)|\o)|\r)|\\)|\{)|\i)|\n)|\c)|\o)|\l)|\o)|\r)|\\)|\})|\()|\.)|\*)|\))|\\)|\})|\\)\:
tourDeSource42:	"Out\"(((((((((((((((((((((((((((\\|\{)|\\)|\\)|\c)|\o)|\l)|\o)|\r)|\\)|\{)|\o)|\u)|\t)|\c)|\o)|\l)|\o)|\r)|\\)|\})|\()|\.)|\*)|\))|\\)|\})|\\)\:
tourDeSource43:	((.&~((([\a-\z]|[\A-\Z])|[\0-\9]))))*((([\a-\z]|[\A-\Z])|[\0-\9])){1,}((.&~((([\a-\z]|[\A-\Z])|[\0-\9]))))*
tourDeSource44:	"http://"(.)*"imdb\"."com/title/tt"([\0-\9]){7,7}"/quotes"
tourDeSource45:	(((([\a-\z]|[\A-\Z])|\_)){1,}(@([\0-\9]){1,})?|(([\0-\9]){1,}(\\.([\0-\9]){1,})?|(.&~((\ |\n)))))
tourDeSource46:	"range "((.&~(\ ))){1,}\ ((.&~(\ ))){1,}\ ((.&~(\ ))){1,}\ ([\0-\9]){1,}\ ([\0-\9]){1,}
tourDeSource47:	("js_Execute"|"CallHook")\ ((.&~(\ ))){1,}\ (((.&~(\ ))){1,}\ )?((.&~(\ ))){1,}"ms"
tourDeSource48:	\n@@" -"([\0-\9]){1,}(\,)?([\0-\9])*\ (\\){1,}([\0-\9]){1,}(\,)?([\0-\9])*\ @@
tourDeSource49:	....\-..\-..\T..\:..\:......(\+|\-)..\:..
tourDeSource50:	(([\a-\z]|[\A-\Z])|\_)((((([\a-\z]|[\A-\Z])|[\0-\9])|\_)|(\.|\-)))*(\:(([\a-\z]|[\A-\Z])|\_)(((([\a-\z]|[\A-\Z])|[\0-\9])|\_)|(\.|\-)))?
tourDeSource51:	(([\a-\z]|[\A-\Z])|\_)((((([\a-\z]|[\A-\Z])|[\0-\9])|\_)|(\.|\-)))*(\:(([\a-\z]|[\A-\Z])|\_)((((([\a-\z]|[\A-\Z])|[\0-\9])|\_)|(\.|\-)))*)?
tourDeSource52:	((([\0-\9]|[\a-\f])|[\A-\F])(([\0-\9]|[\a-\f])|[\A-\F])(\:|\-)){2,2}(([\0-\9]|[\a-\f])|[\A-\F])(([\0-\9]|[\a-\f])|[\A-\F])
tourDeSource53:	\\((((\0|\\)|\:)|\0)|\\)" -A "(.)*" -j ACCEPT -p icmp -s 192"."168"."11"."0/24"
tourDeSource54:	(((([\a-\z]|[\A-\Z])|\_)(((([\a-\z]|[\A-\Z])|[\0-\9])|\_))*)?\:)?((([\a-\z]|[\A-\Z])|\_)(((([\a-\z]|[\A-\Z])|[\0-\9])|(\_|\-)))*)?
tourDeSource55:	\\(\I|\\)\ (.)*" \"(.)*@([\0-\9]){1,}\/([\0-\9]){1,}\/([\0-\9]){1,}\\": "(.)*
tourDeSource56:	(.&~(((((((((((((((((((((((((((((((((((((([\a-\z]|[\A-\Z])|\x)|\c)|\3)|\x)|\a)|\6)|\x)|\c)|\3)|\x)|\b)|\8)|\x)|\c)|\3)|\x)|\a)|\5)|\x)|\c)|\3)|\x)|\8)|\6)|\x)|\c)|\3)|\x)|\9)|\8)|\x)|\c)|\3)|\x)|\8)|\5)))
tourDeSource57:	("Email"|("email"|("login"|("logon"|("Logon"|("Login"|("user"|("username"|"Username"))))))))
tourDeSource58:	"http"(\s)?"://"("www".)?"youtube".(("com"|("co"."uk"|"ca")))?"/watch"(.)*(\\)?\v(.)*
tourDeSource59:	"http"(\s)?"://"((((((((((((((((((((\-|[\a-\z])|[\A-\Z])|[\0-\9])|\+)|\&)|\@)|\#)|\/)|\%)|\?)|\=)|\~)|\_)|\|)|\!)|\:)|\,)|\.)|\;))*(((((((((((((\-|[\a-\z])|[\A-\Z])|[\0-\9])|\+)|\&)|\@)|\#)|\/)|\%)|\=)|\~)|\_)|\|)
tourDeSource60:	(((\#|\ ))*)?(((([\a-\z]|[\A-\Z])|[\0-\9])|\_)){1,}(\ ){1,}((((((((((((((([\a-\z]|[\A-\Z])|[\0-\9])|\_)|\\)|\?)|\\)|\!)|\<)|\>)|\\)|\+)|\=)|\\)|\.)){1,}(.)*
tourDeSource61:	............................................................
tourDeSource62:	(\-)?(([\0-\9]){1,}(\\.([\0-\9])*)?|\\.([\0-\9]){1,})("cm"|("mm"|("in"|("pt"|("pc"|"px")))))
tourDeSource63:	("/\".|("//"|((((((((((((((((\\|\\)|\:)|\\)|\*)|\\)|\?)|\\)|\")|\")|\\)|\<)|\\)|\>)|\\)|\|)|(((((\x|\0)|[\0-\x])|\1)|\f)|((((\x|\7)|[\f-\x])|\9)|\f)))))
tourDeSource64:	((.&~(\ ))){1,}" \"([\0-\9]){1,}\\.([\0-\9]){1,}\\.([\0-\9]){1,}\-([\0-\9]){1,}\\\ ((.&~(\ ))){1,}"; urgency="((.&~(\ ))){1,}
tourDeSource65:	((([\A-\Z]|[\a-\z])){1,}"://")?(((([\A-\Z]|[\a-\z])|[\0-\9])){1,}(\:((.&~((\:|\@)))){1,})?@)?((.&~((\:|\/)))){1,}(\:([\0-\9]){1,})?(\/(.)*)?
tourDeSource66:	"Foo: 0\".."s, 0\"."0min\nFoo: 0\".."s, 0"."0min\nFoo: ".\\.."s, 0"."0min\n"
tourDeSource67:	"color "((.&~(\ ))){1,}\ #((([\a-\f]|[\A-\F])|[\0-\9])){2,2}((([\a-\f]|[\A-\F])|[\0-\9])){2,2}((([\a-\f]|[\A-\F])|[\0-\9])){2,2}
tourDeSource68:	(((((((((((((((((((((((((((((((((((((((((((((((((\.|[\a-\z])|\x)|\e)|\4)|\x)|\f)|\6)|\x)|\f)|\c)|\x)|\d)|\f)|\x)|\e)|\7)|\x)|\e)|\1)|\x)|\e)|\2)|\x)|\e)|\0)|\x)|\e)|\9)|\x)|\e)|\8)|\x)|\e)|\a)|\x)|\e)|\b)|\x)|\e)|\d)|\x)|\f)|\1)|\x)|\f)|\4)|\x)|\f)|\3)
tourDeSource69:	#"define JAXER_BUILD_ID ([0-9]+)\\.([0-9]+)\\.([0-9]+)\\.([x0-9]+)(.*)"
tourDeSource70:	#"define"((\ |\t)){1,}(((([\A-\Z]|[\0-\9])|[\a-\z])|\_)){1,}((\ |\t)){1,}([\0-\9]){1,}((\ |\t))*\/(\\)*((\ |\t))*(.)*((\ |\t))*(\\)*\/
tourDeSource71:	#(([\0-\9]|[\a-\z])|[\A-\Z])(([\0-\9]|[\a-\z])|[\A-\Z])(([\0-\9]|[\a-\z])|[\A-\Z])(([\0-\9]|[\a-\z])|[\A-\Z])(([\0-\9]|[\a-\z])|[\A-\Z])(([\0-\9]|[\a-\z])|[\A-\Z])
tourDeSource72:	((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\n"
tourDeSource73:	"xd1x82xd1x80xd1x83xd0xb1xd0xbd"("xd0xb0xd1x8f"|"xd0xbexd0xb9")
tourDeSource74:	((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\t"((.&~((\\|\t))))*"\n"
tourDeSource75:	"--"((\f("77"|"90")("flags"|"exec")|("opt"|"arch"))\=|("debug"|("noopt"|("noarch"|"help-fcompiler"))))
tourDeSource76:	(\ ){1,1}(((\0|\1)){1,1}([\0-\9]){1,1}|((\2){1,1}([\0-\3]){1,1}|([\0-\9]){1,1}))((\-|\:)|\.)((\0|\3)){1,1}((\0|\5)){1,1}((((\.|\,)|\:)|\ )){0,1}
tourDeSource77:	\\((((\0|\\)|\:)|\0)|\\)" -A "(.)*" -j ACCEPT -p tcp -m multiport --dports 80:81 -s 192"."168"."10"."0/24"
tourDeSource78:	"If this is blank, SET did not get a successful attempt on the website, sorry hoss"..
tourDeSource79:	"    geom = models"."PolygonField\"((.&~((\\|\)))))*\\"\n    objects = models"."GeoManager\\"
tourDeSource80:	("\`"("Tr"|"IX")"\' not defined"|("No such file or directory"|("can\'t break"|"cannot adjust")" line"))
tourDeSource81:	\\(\ )*(\-)?(([\0-\9]){1,}(\\.([\0-\9])*)?|\\.([\0-\9]){1,})((\ ){1,}(\-)?(([\0-\9]){1,}(\\.([\0-\9])*)?|\\.([\0-\9]){1,})){2,2}(\ )*\\
tourDeSource82:	"QtGui\"."QApplication"."translate\"((.)*)?", "((.)*)?", None, QtGui\"."QApplication\"."UnicodeUTF8\"
tourDeSource83:	"xd1x8exd0xb1xd0xb8xd0xbbxd0xb5xd0xb9xd0xbd"("xd0xb0xd1x8f"|"xd0xbexd0xb9")
tourDeSource84:	("xd0xbf\"(.)?|"xd0xbfxd0xb0xd1x80xd0xba")" xd0xbfxd0xbexd0xb1xd0xb5xd0xb4xd1x8b"
tourDeSource85:	("pwd"|("pass"|("uid"|("uname"|("Uname"|("userid"|("userID"|("USER"|("USERNAME"|("PIN"|("pin"|("password"|("Password"|("secret"|("Secret"|"Pass")))))))))))))))
tourDeSource86:	"xd1x89xd0xb5xd0xbbxd0xbaxd0xbexd0xb2xd1x81xd0xba"("xd0xb0xd1x8f"|"xd0xbexd0xb9")
tourDeSource87:	">rRNA_"([\A-\Z]){1,}([\0-\9]){1,}\\.([\0-\9]){1,}\_([\0-\9]){1,}\-([\0-\9]){1,}"_DIR"((\-|\\)|\+)" /molecule="(.)*"_rRNA /score="([\0-\9]){1,}(.)?([\0-\9])*
tourDeSource88:	"xd1x88xd0xb8xd0xbfxd0xb8xd0xbbxd0xbexd0xb2xd1x81xd0xba"("xd0xb0xd1x8f"|"xd0xbexd0xb9")
tourDeSource89:	"xd1x8exd0xb3xd0xbe-xd0xb7xd0xb0xd0xbfxd0xb0xd0xb4xd0xbd"("xd0xb0xd1x8f"|"xd0xbexd0xb9")
tourDeSource90:	(\ ){1,1}(((\0|\1)){1,1}([\0-\9]){1,1}|((\2){1,1}([\0-\4]){1,1}|([\0-\9]){1,1}))((\-|\:)|\.)(([\0-\6]){1,1}((\0|\5)){1,1}|"u0447u0430u0441u043eu0432")((((\.|\,)|\:)|\ )){0,1}
tourDeSource91:	(\!)?((\2(\5[\0-\5]|[\0-\4][\0-\9])|((\0|\1))?[\0-\9]([\0-\9])?)\\.){3,3}(\2(\5[\0-\5]|[\0-\4][\0-\9])|((\0|\1))?[\0-\9]([\0-\9])?)\/(\3((\0|\1)|\2)|((\1|\2))?[\0-\9])
tourDeSource92:	"xd1x87xd0xb5xd1x80xd1x82xd0xb0xd0xbdxd0xbexd0xb2xd1x81xd0xba"("xd0xb0xd1x8f"|"xd0xbexd0xb9")
tourDeSource93:	("cimport"(\ ){1,}((((([\0-\9]|[\a-\z])|[\A-\Z])|\_)|\.)){1,}"\b"|("from"(\ ){1,}((((([\0-\9]|[\a-\z])|[\A-\Z])|\_)|\.)){1,}(\ ){1,}"cimport"|("include"(\ ){1,}\'((.&~(\'))){1,}\'|"cdef"(\ ){1,}"extern"(\ ){1,}"from"(\ ){1,}\'((.&~(\'))){1,}\')))
tourDeSource94:	"xd7xa2xd7x9exd7x95xd7x93"((.)*)?"xd7x9exd7xaaxd7xa4xd7xa8xd7xa1xd7x9exd7xaa xd7x91xd7x96xd7x94"
tourDeSource95:	"xd1x82xd1x80xd0xb5xd1x82xd1x8cxd1x8fxd0xbaxd0xbexd0xb2xd1x81xd0xba"("xd0xb0xd1x8f"|"xd0xbexd0xb9")
tourDeSource96:	"xd0xbfxd0xb5xd1x82xd1x80xd0xbexd0xb4xd0xb2xd0xbexd1x80xd1x86xd0xbexd0xb2"("xd1x8bxd0xb9"|"xd0xbexd0xbc")
tourDeSource97:	"FooDeathTest\"."n  Test1nFoo\"."n  Bar1n  Bar2n  DISABLED_Bar3nFooBar\"."n  BaznFooTest\"."n  Test1n  DISABLED_Test2n  Test3n"
tourDeSource98:	(\p|("div"|(\h[\1-\6]|("blockquote"|("pre"|("table"|("dl"|("ol"|("ul"|("script"|("noscript"|("form"|("fieldset"|("iframe"|("math"|("ins"|("del"|("hr"|("hr/"|("style"|("li"|("dt"|("dd"|("thead"|("tbody"|("tr"|("th"|"td")))))))))))))))))))))))))))
tourDeSource99:	"xd1x81xd0xb5xd0xb2xd0xb0xd1x81xd1x82xd0xbexd0xbfxd0xbexd0xbbxd1x8cxd1x81xd0xba"("xd0xb0xd1x8f"|"xd0xbexd0xb9")
tourDeSource100:	(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((\\|\x)|\0)|\0)|\\)|\x)|\0)|\1)|\\)|\x)|\0)|\2)|\\)|\x)|\0)|\3)|\\)|\x)|\0)|\4)|\\)|\x)|\0)|\5)|\\)|\x)|\0)|\6)|\\)|\x)|\0)|\7)|\\)|\x)|\0)|\8)|\\)|\x)|\0)|\b)|\\)|\x)|\0)|\c)|\\)|\x)|\0)|\e)|\\)|\x)|\0)|\f)|\\)|\x)|\1)|\0)|\\)|\x)|\1)|\1)|\\)|\x)|\1)|\2)|\\)|\x)|\1)|\3)|\\)|\x)|\1)|\4)|\\)|\x)|\1)|\5)|\\)|\x)|\1)|\6)|\\)|\x)|\1)|\7)|\\)|\x)|\1)|\8)|\\)|\x)|\1)|\9)|\\)|\x)|\1)|\a)|\\)|\x)|\1)|\b)|\\)|\x)|\1)|\c)|\\)|\x)|\1)|\d)|\\)|\x)|\1)|\e)|\\)|\x)|\1)|\f)
tourDeSource101:	("ancestor"|("ancestor-or-self"|("attribute"|("child"|("descendant"|("descendant-or-self"|("following"|("following-sibling"|("namespace"|("parent"|("preceding"|("preceding-sibling"|"self"))))))))))))
tourDeSource102:	((("http"|"https")"://"|"www\".)){1,}((((((([\a-\z]|[\A-\Z])|[\0-\9])|\\)|\.)|(\_|\-))){1,}\\.(([\a-\z]|[\A-\Z])){2,6}|([\0-\9]){1,3}\\.([\0-\9]){1,3}\\.([\0-\9]){1,3}\\.([\0-\9]){1,3})(\/((((((((((((((([\a-\z]|[\A-\Z])|[\0-\9])|\\)|\&)|\a)|\m)|\p)|\;)|\%)|\_)|\\)|\.)|[\/-\~])|\-))*)?
tourDeSource103:	"xd0xbaxd1x80xd0xb0xd1x81xd0xbdxd0xbexd0xbfxd1x80xd0xb5xd1x81xd0xbdxd0xb5xd0xbdxd1x81xd0xba"("xd0xb0xd1x8f"|"xd0xbexd0xb9")
tourDeSource104:	("n    x00 "|(\ #" NULLnn    "#" Bidi control charactersn    u202a "|(\ #" LREn    u202b "|(\ #" RLEn    u202c "|(\ #" PDFn    u202d "|\ #" LRMn    u202e   "#" RLMn    ")))))
tourDeSource105:	("25"[\0-\5]|(\2[\0-\4][\0-\9]|((\0|\1))?[\0-\9]([\0-\9])?))\\.("25"[\0-\5]|(\2[\0-\4][\0-\9]|((\0|\1))?[\0-\9]([\0-\9])?))\\.("25"[\0-\5]|(\2[\0-\4][\0-\9]|((\0|\1))?[\0-\9]([\0-\9])?))\\.("25"[\0-\5]|(\2[\0-\4][\0-\9]|((\0|\1))?[\0-\9]([\0-\9])?))
tourDeSource106:	("xd0xb3xd1x80xd0xb0xd0xb6xd0xb4xd0xb0xd0xbdxd1x81xd0xbaxd0xb8xd0xb9"|"xd0xb3xd1x80xd0xb0xd0xb6xd0xb4xd0xb0xd0xbdxd1x81xd0xba\".)
tourDeSource107:	("xd0xbdxd0xbexd0xb2xd0xbexd0xb3xd0xb8xd1x80xd0xb5xd0xb2xd0xbe"|"xd0xbdxd0xbexd0xb2xd0xbexd0xb3xd0xb8xd1x80xd0xb5xd0xb5xd0xb2xd0xbe")
